"Phase","Name","Status","Coverage","PacketEvidence","FirstBlocker","NextAction"
"A","Transport / Session","PARTIAL","Login/World ports can be opened by staging and DirectServerE2E, but visible Official Client transport has not produced LOGIN_SOCKET_ACCEPTED or SESSION_CREATED.","DirectServerE2E summaries; visible summaries 20260728-054941 and 20260728-055224.","YES","One targeted OfficialClientTransport run with diagnostic capture for CLIENT_CONNECT_TARGET, LOGIN_SOCKET_ACCEPTED, first login payload or dialog."
"B","Login","PARTIAL","DirectServerE2E login path passed. Official Client login UI reached credential submission in one run, then connection/dialog blocker occurred.","DirectServerE2E LoginAccepted; Visible run 20260728-054941 credentials submitted.","NO","Blocked behind Phase A OfficialClientTransport."
"C","Character","PARTIAL","Official visual evidence observed character list/create/select. Raw CharacterCreate/Delete/ListRefresh packets are not recovered.","packet-families CharacterList/CharacterCreate visual observed; unknown-opcodes notYetRecovered.","NO","After Phase A, isolate CharacterDelete and CharacterListRefresh raw request/response."
"D","World Entry","PARTIAL","DirectServerE2E reaches PLAYER_ENTERED_WORLD. Official visual behavior historically reached enter-world, but current OfficialClientTransport is not proven.","DirectServerE2E PlayerEnteredWorld; packet-families CharacterSelect/WorldTransfer baseline known.","NO","Keep frozen until OfficialClientTransport reaches Login and Character."
"E","World Runtime","PARTIAL","Server-side runtime milestones exist; raw entity spawn/visibility/state delta packets are not fully cataloged.","DirectServerE2E frozen gameplay foundation; no complete raw entity packet catalog.","NO","Do not expand before Phase A/C raw blockers."
"F","Movement","PARTIAL","10-byte movement family is verified locally; coordinate/direction/sequence fields and mounted-vs-walking relationship remain unknown.","verified-opcodes world-movement-client-10-byte-family; protocol-field-map Movement.","NO","One isolated walking/mounted differential capture only after earlier blockers."
"G","Combat","PARTIAL","DirectServerE2E combat milestones were previously frozen; official raw combat/basic attack/skill packets are not recovered.","packet-families Combat visual observed; unknown-opcodes notYetRecovered.","NO","Keep formula labeled CUSTOM / TEST ONLY until official formula is proven."
"H","Immortal","PARTIAL","Server-side immortal deploy/skill/effect flow exists; visible Official Client immortal skill acceptance is not proven.","Frozen DirectServerE2E events only; no raw immortal packet catalog.","NO","Do not process before Official Client login/character path is real."
"I","Battle Pet","PARTIAL","Official visual notes include pet state/deployment, but battle pet attack/skill raw packets and visible E2E are not proven.","GameplayPacketRecovery-Latest official behavior coverage; no raw pet packet catalog.","NO","After Phase A/C, isolate pet deploy/attack/skill as separate participant packets."
"J","Inventory / Item","PARTIAL","Inventory open/item/equip behavior was visually observed. Item acquire/use/equip/remove raw packets and reload verification are incomplete.","packet-families Inventory/Item visual observed; unknown-opcodes notYetRecovered.","NO","Capture one item move, equip, unequip after earlier blockers."
"K","Skill","PARTIAL","Skill use visually observed; character/immortal/pet skill ownership packets are not separated in raw catalog.","packet-families Skill visual observed.","NO","Keep ownership models separated; no raw promotion."
"L","NPC / Merchant","PARTIAL","NPC has local raw candidate; merchant behavior visually observed. Dialog and buy/sell response packets are raw unknown.","unknown-opcodes NPC/Merchant candidates; packet-families NPC/Merchant.","NO","After earlier blockers, capture merchant open, one buy, one sell."
"M","Quest","PARTIAL","Quest accept/complete visually observed; raw quest packets and persistence verification are not recovered.","packet-families Quest visual observed; unknown-opcodes notYetRecovered.","NO","After earlier blockers, isolate one quest accept and one completion."
"N","Map / Portal","PARTIAL","Portal/map transfer visually observed; raw portal/map-transfer packets and relogin position verification are incomplete.","packet-families Portal/MapTransfer visual observed.","NO","One portal transfer capture only after earlier blockers."
"O","Persistence","PARTIAL","Current evidence has server events and runtime test setup, but not full real reload verification for every required field.","DirectServerE2E and runtime summaries; no complete PersistenceVerification PASS.","NO","Use real reload checks; do not count event existence alone."
"P","Logout / Relogin","PARTIAL","Logout has a local raw candidate and visual success; relogin persistence path is not complete.","unknown-opcodes world-logout-client-5-byte-candidate; official visual final logout.","NO","Capture logout/relogin after Phase A path works."
"Q","Multi-account Regression","UNKNOWN","Four fixed staging accounts exist, but a visible Official Client full flow for all four has not passed.","BuiltInOfficialClientE2E summaries list four accounts; DirectServerE2E is not a replacement.","NO","Run only after visible single-account flow reaches persistence."
"R","Visible Official Client E2E","PARTIAL","Client process/window and login UI were observed in previous runs; latest visible run blocked before login/transport acceptance.","BuiltInOfficialClientE2E 20260728-055224 Protection Error 157; 20260728-054941 connection error after credentials.","NO","Blocked by Phase A OfficialClientTransport."
